zoo,category,fiscal_year,oct_67,nov_67,dec_67,jan_68,feb_68,mar_68,apr_68,may_68,jun_68,jul_68,aug_68,sep_68,total_visitors
สวนสัตว์เปิดเขาเขียว,ผู้ใหญ่,2568,174614,68703,97091,69007,43889,69649,93962,58418,42288,51418,45826,27056,841921
สวนสัตว์เปิดเขาเขียว,เด็ก,2568,64740,16717,20830,15101,9915,20910,30226,15375,7644,6467,9410,4639,221974
สวนสัตว์เปิดเขาเขียว,โครงการให้บริการความรู้ อสส.,2568,4035,4876,5894,11099,11837,11486,962,1422,2753,9835,19935,23064,107198
สวนสัตว์เปิดเขาเขียว,โครงการทัวร์สวนสัตว์,2568,20060,21699,26079,34682,28831,23612,17061,11511,12681,19769,20191,10077,246253
สวนสัตว์เปิดเขาเขียว,ผู้ใหญ่ (ชาวต่างชาติ),2568,4584,4963,6499,6757,4337,3364,3057,2020,2191,3168,2823,1408,45171
สวนสัตว์เปิดเขาเขียว,เด็ก (ชาวต่างชาติ),2568,715,455,914,1140,696,475,466,289,391,607,603,212,6963
สวนสัตว์เปิดเขาเขียว,ผู้ใหญ่ (สวนสัตว์กลางคืน),2568,418,202,252,87,266,39,134,120,36,214,251,213,2232
สวนสัตว์เปิดเขาเขียว,เด็ก (สวนสัตว์กลางคืน),2568,168,61,80,25,64,26,73,25,7,66,87,88,770
สวนสัตว์เปิดเขาเขียว,ยกเว้น,2568,29700,15514,20655,19870,13057,19786,23353,14164,11677,21946,15879,8188,213789
สวนสัตว์เชียงใหม่,ผู้ใหญ่,2568,27509,15564,34408,28490,15058,17587,22383,16912,15358,16614,18575,10551,239009
สวนสัตว์เชียงใหม่,เด็ก,2568,8328,3876,6716,6280,3735,4853,7639,4880,3332,4327,4255,2322,60543
สวนสัตว์เชียงใหม่,โครงการให้บริการความรู้ อสส.,2568,1031,1488,3056,4689,7187,4488,901,306,468,2712,6668,7036,40030
สวนสัตว์เชียงใหม่,โครงการทัวร์สวนสัตว์,2568,0,0,0,0,0,0,0,0,0,0,0,0,0
สวนสัตว์เชียงใหม่,ผู้ใหญ่ (ชาวต่างชาติ),2568,2282,3526,5273,5879,4217,2501,2623,2111,2179,2849,2349,1481,37270
สวนสัตว์เชียงใหม่,เด็ก (ชาวต่างชาติ),2568,380,368,873,1209,835,293,468,303,367,816,571,196,6679
สวนสัตว์เชียงใหม่,ผู้ใหญ่ (สวนสัตว์กลางคืน),2568,0,0,0,0,0,0,0,0,0,0,0,0,0
สวนสัตว์เชียงใหม่,เด็ก (สวนสัตว์กลางคืน),2568,0,0,0,0,0,0,0,0,0,0,0,0,0
สวนสัตว์เชียงใหม่,ยกเว้น,2568,9098,3912,12615,13469,6479,4044,5183,4062,4725,5047,7053,2996,78683
